ID,POSITIVE,NEUTRAL,NEGATIVE,COMPUND 
54,0.0,1.0,0.0,0.0
64,0.0,1.0,0.0,0.0
80,0.0,0.682,0.318,-0.493
134,0.0,0.618,0.382,-0.4754
138,0.0,1.0,0.0,0.0
156,0.0,0.647,0.353,-0.2924
173,0.0,0.877,0.123,-0.1027
215,0.0,1.0,0.0,0.0
223,0.0,1.0,0.0,0.0
251,0.126,0.611,0.263,-0.5574
296,0.0,1.0,0.0,0.0
352,0.342,0.38,0.278,0.128
368,0.0,1.0,0.0,0.0
369,0.0,1.0,0.0,0.0
382,0.26,0.417,0.323,-0.1531
383,0.236,0.566,0.198,0.1027
384,0.0,0.882,0.118,-0.1531
419,0.329,0.244,0.427,-0.2023
472,0.0,1.0,0.0,0.0
490,0.0,1.0,0.0,0.0
541,0.0,0.55,0.45,-0.5994
709,0.274,0.726,0.0,0.6476
751,0.0,1.0,0.0,0.0
773,0.0,1.0,0.0,0.0
821,0.0,0.392,0.608,-0.4767
894,0.231,0.592,0.177,0.0015
895,0.083,0.917,0.0,0.4391
896,0.231,0.769,0.0,0.6597
898,0.0,1.0,0.0,0.0
944,0.106,0.894,0.0,0.0772
962,0.0,0.5,0.5,-0.25
976,0.0,0.762,0.238,-0.6115
1020,0.0,1.0,0.0,0.0
1021,0.0,1.0,0.0,0.0
1105,0.0,1.0,0.0,0.0
1120,0.483,0.517,0.0,0.7615
1173,0.0,0.596,0.404,-0.5256
1298,0.456,0.38,0.165,0.5574
1438,0.0,1.0,0.0,0.0
1610,0.215,0.579,0.207,0.0258
1623,0.0,0.753,0.247,-0.3182
1637,0.0,0.774,0.226,-0.3875
1724,0.0,0.813,0.187,-0.3182
1816,0.0,0.703,0.297,-0.7469
1909,0.0,0.795,0.205,-0.4767
1910,0.0,1.0,0.0,0.0
1917,0.126,0.874,0.0,0.3818
1918,0.0,0.895,0.105,-0.4019
1927,0.0,0.465,0.535,-0.3182
1969,0.292,0.708,0.0,0.4391
1970,0.512,0.488,0.0,0.4939
2003,0.084,0.714,0.201,-0.4215
2278,0.0,1.0,0.0,0.0
2280,0.0,1.0,0.0,0.0
2281,0.0,1.0,0.0,0.0
2319,0.0,1.0,0.0,0.0
2320,0.0,1.0,0.0,0.0
2359,0.0,0.962,0.038,-0.0516
2360,0.048,0.897,0.054,0.1742
2361,0.0,1.0,0.0,0.0
2416,0.0,1.0,0.0,0.0
2417,0.342,0.658,0.0,0.3818
2427,0.091,0.909,0.0,0.3612
2432,0.0,0.555,0.445,-0.3412
2650,0.222,0.778,0.0,0.2144
2663,0.0,1.0,0.0,0.0
2678,0.0,0.645,0.355,-0.296
2696,0.273,0.505,0.222,0.128
2874,0.174,0.826,0.0,0.2755
2875,0.197,0.803,0.0,0.4019
2891,0.0,1.0,0.0,0.0
2897,0.106,0.745,0.149,-0.1793
2902,0.124,0.876,0.0,0.1779
2903,0.249,0.622,0.13,0.3182
2905,0.0,0.95,0.05,-0.1603
2910,0.0,0.843,0.157,-0.5096
2911,0.0,0.874,0.126,-0.5574
2912,0.0,0.886,0.114,-0.4019
2913,0.0,0.756,0.244,-0.6369
2915,0.035,0.929,0.037,-0.0258
2917,0.299,0.701,0.0,0.5719
2922,0.469,0.531,0.0,0.7239
2923,0.365,0.466,0.17,0.3645
2925,0.064,0.846,0.09,-0.2212
2928,0.21,0.79,0.0,0.5994
2930,0.388,0.612,0.0,0.2263
2936,0.132,0.735,0.132,0.0
2940,0.0,1.0,0.0,0.0
2944,0.343,0.657,0.0,0.743
2946,0.503,0.497,0.0,0.7245
2947,0.245,0.755,0.0,0.0772
2948,0.405,0.595,0.0,0.5267
2956,0.208,0.792,0.0,0.6124
2960,0.106,0.787,0.106,0.0
2961,0.0,1.0,0.0,0.0
2962,0.139,0.861,0.0,0.2732
2963,0.064,0.766,0.17,-0.3612
2964,0.697,0.303,0.0,0.3182
2965,0.164,0.667,0.17,-0.0258
2973,0.191,0.638,0.171,0.0757
2974,0.241,0.759,0.0,0.5423
2975,0.13,0.87,0.0,0.4019
